"","idHash","date","greek","athlete","financialAid","gender","geography","highschool","legacy","major","orientation","race","year","school","q5","q1","q3","q6","q2","q7","q8","q4","ipedsId","caseid","weight"
"96","bacffb84493e9440d16cb7c69150f2d4ac8dc48a1db9d9c7939269275df654d1",2019-03-29 03:33:50,4,3,2,2,3,1,1,28,3,7,1,65,4,1,2,2,19,4,2,1,152080,96,0.872604337398202
"97","4f6933b8c166f775a88309737e45edd88c5fe75144c570d2c6e3b92a9684ba57",2019-03-29 03:33:59,4,3,1,1,4,1,2,11,2,7,4,1102,2,3,2,4,19,1,1,2,100706,97,0.949957159916681
"98","711bb7071136bcc6565b5bbfef0af2665df2a7d331ae54dcd79f186206444884",2019-03-29 03:34:00,4,3,1,2,3,4,2,58,2,7,3,712,3,1,2,1,9,4,2,1,157951,98,1.02060044958806
"99","16588807bd9fd21795aeb67ded8b70aa5ef6dcb40d243565e782a2d5ad7ce3b2",2019-03-29 03:34:07,4,3,1,1,3,1,2,12,2,1,3,17,4,1,2,2,9,3,2,1,179867,99,2.73459471934377
"100","098b5addfcba373f57ab66dee1959f20ae7efaa2c3ef5cfbc13a0324af756c6a",2019-03-29 03:34:57,4,3,2,2,3,1,2,5865,2,7,1,189,4,1,2,2,1,4,2,1,178396,100,0.872604337398202
"101","05e3b420920cd1f0a15f97a3921dfca0f5d1ddd8e1b950737afaa451398bb6fc",2019-03-29 03:35:02,4,3,1,2,3,1,2,413,2,7,3,1762,4,2,2,4,1,4,2,1,NA,101,1.02060044958806
"102","f796237da2dd69371130a7de56d62411b549cd72c12e72c1a6b96ca38294e60b",2019-03-29 03:35:45,4,2,1,2,4,1,2,13,2,7,3,43,2,1,2,3,9,2,1,2,157289,102,1.02060044958806
"103","e7ae087ad6dc3b7b2662d2fd7db9f307857f902dfc46847279864374bbcd87b2",2019-03-29 03:35:53,4,3,1,2,5,1,2,56,2,1,1,354,4,1,2,2,3,2,2,1,110714,103,3.00002917592654
"104","d9f1b973f8f0f2cad7e13b116ea81fba6ddc11dd3cb262fe4b433a46199a6c2c",2019-03-29 03:35:59,4,3,1,1,2,1,1,34,2,4,3,143,4,1,2,2,1,3,2,1,186380,104,0.435781722618561
"105","041e4a078ba110c116d90f78526e8f1af5a6ae7549945c27ab9aa951a9c4b320",2019-03-29 03:36:00,4,3,1,1,8,1,2,2711,2,6,2,397,4,1,2,2,1,2,2,1,104151,105,0.416994387381816
"106","9d178b81b4dc8ad682e5b47aef0f3269816c27e9a2adba70e6e9dadebe3cdc99",2019-03-29 03:36:26,4,3,1,2,8,1,2,4770,6,7,3,1169,3,1,2,2,19,2,1,1,236328,106,1.02060044958806
"107","fa111b4118c99c52f81fa3ffd823e024402a27c2af6b03370184c992392c7371",2019-03-29 03:36:31,4,1,2,1,3,3,2,7,2,7,5,104,2,1,1,4,19,2,1,2,204796,107,0.451727617830074
"108","37c3152a1292c59d976645cbb19e458e1f1cb40a7259c32007221bafc3268167",2019-03-29 03:36:44,4,3,2,1,4,1,2,28,1,7,3,104,4,1,2,2,10,4,2,1,204796,108,0.718596772354376
"109","9835fa6ddcfe889ea030f1b61109e7b0a35c49d6feb421779526fd9d1f67e64e",2019-03-29 03:36:48,2,3,1,2,3,1,2,51,2,7,3,409,3,1,1,3,19,2,1,2,153658,109,1.02060044958806
"110","1a2ab7b1ec97a08a53a5e47c73520f9c0ecb046216b5131bcc6e5e503808e782",2019-03-29 03:36:56,4,3,1,2,4,1,2,1357,2,4,3,17,4,3,2,2,1,3,2,1,179867,110,0.618927107854343
"111","d8778811dd6e78570b79cdc3af4268bbc9bb79cacb2f88daeb49e917a622120b",2019-03-29 03:37:05,4,3,1,2,3,1,2,19,2,7,2,331,4,1,2,3,1,3,2,1,169248,111,0.954341333290293
"112","6decaedff729a14ef3ce797d7a6d15bb8bcb19b097121b133b5b44fdf5c8c503",2019-03-29 03:37:06,4,3,1,2,4,1,2,7,2,1,2,304,4,2,2,2,1,4,2,1,NA,112,3.00002917592654
"113","9f684db85c3ab3a7a93c74274858f5e737e260b05840eb3f24d103033e3bcc3b",2019-03-29 03:37:38,1,3,1,1,1,1,1,25,2,7,2,80,4,1,2,2,19,4,2,1,182670,113,0.671944248215428
"114","0d5c8135e2305cfc6b9c690df832da0d06927c370772a8ae7c340720c429e974",2019-03-29 03:37:38,3,3,2,2,7,1,2,27,2,7,4,397,1,2,1,4,19,2,1,2,104151,114,1.34919434904202
"115","409fe3dff3c0ce6e89636437a94a981ac284823313d4d78ccb4dd3474c45399e",2019-03-29 03:37:58,4,3,2,1,5,1,2,39,2,7,1,7,5,1,2,4,19,3,1,2,217156,115,0.614393870441535
"116","d2430d0d748219cc8b88206a5d3fcbf0eaad6bda7d639ecf635732eccba6d4d9",2019-03-29 03:38:21,4,3,1,2,4,1,2,4566,7,7,4,77,4,1,2,1,3,4,2,1,160755,116,1.34919434904202
"117","c8eaa6c2407843b412e5165572cf6d2dc0f402c4e488ffc43f9a86127bb48898",2019-03-29 03:38:49,4,2,2,1,4,1,2,13,2,7,3,501,3,1,2,4,9,3,1,2,221759,117,0.718596772354376
"118","c29f75a4920462f9c2aea0ad1e04e3ad519efef36f39c0f4ea05c3064864bf2a",2019-03-29 03:39:31,4,3,1,1,3,1,2,19,2,6,3,104,4,1,2,2,9,4,2,1,204796,118,0.445945957061595
"119","90fc12fea8e841d89bc9dd2cd020744be4712cf0c43539af30fb285a52726486",2019-03-29 03:39:38,4,3,1,2,4,1,2,13,2,4,1,47,4,1,2,2,1,3,2,1,110662,119,0.529177190804704
"120","747f7526869e379450b062093d0b6a11486ff4460cfe81c242092a913d3971e9",2019-03-29 03:40:12,5,3,1,1,4,1,2,27,2,7,2,511,3,2,2,4,9,3,2,2,221740,120,0.671944248215428
